I/N,MTM/FMM,T,Fab,Marca,Tipo,Mod,Desc. marca,Desc. Modelo Desc. Tipo,,0Km,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
I,00422257,A,,004,22,257,ALFA ROMEO,GT 3.2 JTS SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,17340000,16470000,15650000,14790000,14050000,13350000,,,,,
I,00401230,A,,004,01,230,ALFA ROMEO,GT 3.2 V6 24V SEDAN 2 PUERTAS,,,,,,,,,,,,,,,,17340000,16470000,15650000,14790000,14050000,13350000,,,,,
I,00422230,A,,004,22,230,ALFA ROMEO,GT 3.2 V6 24V SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,17340000,16470000,15650000,14790000,14050000,13350000,,,,,
I,00421085,A,,004,21,085,ALFA ROMEO,GTV COUPE,,,,,,,,,,,,,,,,,,,,,,,12020000,11420000,10850000,10300000
I,00421100,A,,004,21,100,ALFA ROMEO,GTV 2000 TS 16V COUPE,,,,,,,,,,,,,,,,,,,,,,,12020000,11420000,10850000,10300000
I,00421201,A,,004,21,201,ALFA ROMEO,GTV 3.0 T.SPARK 24V COUPE,,,,,,,,,,,,,,,,,,,,,,,12020000,11420000,10850000,10300000
I,00421159,A,,004,21,159,ALFA ROMEO,GTV 3.0 V6 24V COUPE,,,,,,,,,,,,,,,,,,,,,,,12020000,11420000,10850000,10300000
I,00421099,A,,004,21,099,ALFA ROMEO,GTV V6 TB COUPE,,,,,,,,,,,,,,,,,,,,,,,12020000,11420000,10850000,10300000
I,00421064,A,,004,21,064,ALFA ROMEO,GTV6 2.5 COUPE,,,,,,,,,,,,,,,,,,,,,,,12020000,11420000,10850000,10300000
I,00422263,A,,004,22,263,ALFA ROMEO,MITO SEDAN 3 PUERTAS,,,,,,,,,12370000,11700000,11060000,10510000,9930000,9440000,8920000,8470000,8050000,,,,,,,,,
I,00422290,A,,004,22,290,ALFA ROMEO,MITO DISTINCTIVE SEDAN 3 PUERTAS,,,,,,,,,12370000,11700000,11060000,10510000,9930000,9440000,8920000,8470000,8050000,,,,,,,,,
I,00422293,A,,004,22,293,ALFA ROMEO,MITO JUNIOR SEDAN 3 PUERTAS,,,,,,,,,,7300000,6810000,6320000,5840000,5350000,,,,,,,,,,,,
I,00422276,A,,004,22,276,ALFA ROMEO,MITO PROGRESSION SEDAN 3 PUERTAS,,,,,,,,8760000,7780000,,,6320000,5840000,5350000,4870000,4620000,,,,,,,,,,
I,00422280,A,,004,22,280,ALFA ROMEO,MITO PROGRESSION 135 CVSEDAN 3 PUERTAS,,,,,,,,,12370000,11700000,11060000,10510000,9930000,9440000,8920000,8470000,8050000,,,,,,,,,
I,00422295,A,,004,22,295,ALFA ROMEO,MITO QV SEDAN 3 PUERTAS,,,,,,,,13990000,12370000,10910000,9800000,8750000,7660000,6970000,,,,,,,,,,,,
I,00422312,A,,004,22,312,ALFA ROMEO,MITO VELOCE SEDAN 3 PUERTAS,,,,,,,14720000,14180000,13110000,,,,,,,,,,,,,,,,,
I,00426071,A,,004,26,071,ALFA ROMEO,SPIDER DESCAPOTABLE,,,,,,,,,,,,,,,24270000,23060000,21900000,20810000,19670000,,,,,,,
I/N,MTM/FMM,T,Fab,Marca,Tipo,Mod,Desc. marca,Desc. Modelo,Desc. Tipo,0Km,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
I,00426244,A,,004,26,244,ALFA ROMEO,SPIDER 2.2 JTS,DESCAPOTABLE,,,,,,,,,,,,,,24270000,23060000,21900000,20810000,19670000,,,,,,,
I,00421202,A,,004,21,202,ALFA ROMEO,SPIDER 3.0 T.SPARK,COUPE,,,,,,,,,,,,,,,,,,,,,,,,17170000,16310000
I,00426250,A,,004,26,250,ALFA ROMEO,SPIDER 3.2 JTS,DESCAPOTABLE,,,,,,,,,,,,,,,26000000,24700000,23470000,22190000,,,,,,,
I,00421106,A,,004,21,106,ALFA ROMEO,SPIDER T.SPARK 16V L,COUPE,,,,,,,,,,,,,,,,,,,,,,,,17170000,16310000
I,00426095,A,,004,26,095,ALFA ROMEO,SPIDER V6,DESCAPOTABLE,,,,,,,,,,,,,,,,,,,,,,,,17170000,16310000
I,00405319,A,,004,05,319,ALFA ROMEO,STELVIO 200CV,SEDAN 5 PUERTAS,77120000,65550000,59000000,53100000,47790000,43010000,38710000,,,,,,,,,,,,,,,,,,
