I/N,MTM/FMM,T,Fab,Marca,Tipo,Mod,Desc. marca,Desc. Modelo Desc. Tipo,,0Km,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
I,00405196,A,,004,05,196,ALFA ROMEO,146 1.9 JTD SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,1080000,1070000,1060000
I,00405174,A,,004,05,174,ALFA ROMEO,146 16V TS TI STEP A 2.0 SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,,1050000
I,00405163,A,,004,05,163,ALFA ROMEO,146 TD SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,,1070000
I,00405108,A,,004,05,108,ALFA ROMEO,146 TD 2.0 SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,,1070000
I,00402102,A,,004,02,102,ALFA ROMEO,146 TD LUXE 2.0 SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,,1080000
I,00405109,A,,004,05,109,ALFA ROMEO,146 TI SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,,1060000
I,00405090,A,,004,05,090,ALFA ROMEO,146 TI 16V SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,,1050000
I,00405110,A,,004,05,110,ALFA ROMEO,146 TI 2.0 SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,,1050000
I,00405141,A,,004,05,141,ALFA ROMEO,146 TS GT 1.8 16V SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,,1050000
I,04405141,A,,044,05,141,ALFA ROMEO,146 TS GT 1.8 16V SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,,1050000
I,00405175,A,,004,05,175,ALFA ROMEO,146 TS L STEP 1.8 SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1060000,1040000
I,00422249,A,,004,22,249,ALFA ROMEO,147 1.6 MPI 16V  T. SPARK SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,5200000,4940000,4690000,4440000,4220000,,,,,,
I,00405249,A,,004,05,249,ALFA ROMEO,147 1.6 MPI 16V  T. SPARK SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,5550000,5270000,5010000,4730000,4500000,,,,,,
I,00422217,A,,004,22,217,ALFA ROMEO,147 1.9 JTD SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,6590000,6260000,5950000,5620000,5340000,5070000,4820000,4560000,,,
I,00405217,A,,004,05,217,ALFA ROMEO,147 1.9 JTD SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,6590000,6260000,5950000,5620000,5340000,5070000,4820000,4560000,,,
I,00405253,A,,004,05,253,ALFA ROMEO,147 1.9 JTDM SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,6590000,6260000,5950000,5620000,5340000,5070000,4820000,4560000,,,
I,00405215,A,,004,05,215,ALFA ROMEO,147 2.0 MPI 16V TSPARK SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,5890000,5600000,5320000,5030000,4780000,4540000,4310000,4080000,,,
